Date,BLK Equity,SPXT Index,H15T1Y Index
10/25/2001,41.82,1546.9,2.26
10/26/2001,41.9,1553.26,2.26
10/29/2001,42.5,1516.39,2.18
10/30/2001,43.25,1490.44,2.11
10/31/2001,43.25,1490.58,2.07
11/1/2001,43.31,1524.96,2.1
11/2/2001,43.44,1529.35,2.07
11/5/2001,42.41,1551.39,2.05
11/6/2001,42.95,1573.93,1.97
11/7/2001,42.7,1570.16,1.93
11/8/2001,43,1574.09,2
11/9/2001,42.89,1576.61,2.02
11/12/2001,42.75,1573.82,2.02
11/13/2001,42.56,1603.27,2.07
11/14/2001,42.5,1606.64,2.13
11/15/2001,41.95,1608.09,2.34
11/16/2001,42.54,1603.17,2.41
11/19/2001,41.22,1620.66,2.31
11/20/2001,41.07,1608.9,2.31
11/21/2001,40.95,1601.02,2.38
11/23/2001,41.18,1619.78,2.41
11/26/2001,42,1629.76,2.43
11/27/2001,40.9,1618.62,2.36
11/28/2001,40.38,1589.37,2.26
11/29/2001,38.99,1605.99,2.03
11/30/2001,38.78,1604.92,2.06
12/3/2001,38.4,1591.48,2.08
12/4/2001,38.09,1612.46,2.07
12/5/2001,38.91,1649,2.27
12/6/2001,40.28,1644.48,2.35
12/7/2001,39,1632.1,2.26
12/10/2001,38.7,1606.23,2.17
12/11/2001,38.91,1601.76,2.12
12/12/2001,38.22,1602.45,2.13
12/13/2001,39.25,1577.58,2.2
12/14/2001,41.5,1582.81,2.22
12/17/2001,41.06,1598.74,2.24
12/18/2001,41.02,1610.83,2.24
12/19/2001,41.1,1620.27,2.23
12/20/2001,41,1606.92,2.22
12/21/2001,41.42,1613.94,2.23
12/24/2001,41.15,1613.6,2.24
12/26/2001,42.15,1620.26,2.34
12/27/2001,42.45,1631.69,2.27
12/28/2001,41.76,1637.23,2.26
12/31/2001,41.7,1618.98,2.17
1/2/2002,41.32,1628.51,2.28
1/3/2002,41.42,1643.48,2.24
1/4/2002,41.92,1653.69,2.25
1/7/2002,41.4,1642.95,2.19
1/8/2002,41.45,1637.48,2.19
1/9/2002,41.44,1629.7,2.17
1/10/2002,42.05,1631.72,2.1
1/11/2002,40.9,1616.35,1.98
1/14/2002,41,1606.2,2
1/15/2002,42,1617.18,1.99
1/16/2002,42.01,1591.04,2.01
1/17/2002,42.9,1607.02,2.09
1/18/2002,42.25,1591.08,2.08
1/22/2002,41.6,1579.41,2.11
1/23/2002,42,1591.94,2.15
1/24/2002,41.8,1597.55,2.22
1/25/2002,42.15,1599.14,2.25
1/28/2002,40.99,1598.86,2.28
1/29/2002,41,1553.23,2.23
1/30/2002,41.62,1571.69,2.23
1/31/2002,43,1595.35,2.29
2/1/2002,42.97,1584.06,2.22
2/4/2002,42.46,1544.89,2.19
2/5/2002,42.92,1538.7,2.22
2/6/2002,42.75,1529.67,2.2
2/7/2002,42.95,1525.26,2.2
2/8/2002,43.55,1547.94,2.16
2/11/2002,43.15,1570.21,2.21
2/12/2002,43.1,1563.95,2.26
2/13/2002,42.6,1580.03,2.27
2/14/2002,42.25,1577.29,2.26
2/15/2002,41.24,1559.98,2.2
2/19/2002,41.9,1530.58,2.23
2/20/2002,42.29,1551.37,2.24
2/21/2002,42.9,1527.34,2.25
2/22/2002,43.14,1539.91,2.22
2/25/2002,43.51,1567.59,2.26
2/26/2002,43.71,1567.65,2.31
2/27/2002,43.9,1569.01,2.27
2/28/2002,44.5,1564.59,2.25
3/1/2002,44.88,1600.02,2.33
3/4/2002,46.26,1631.25,2.36
3/5/2002,45.86,1620.37,2.36
3/6/2002,44.01,1644.2,2.34
3/7/2002,44.99,1636.86,2.43
3/8/2002,45,1646.44,2.57
3/11/2002,44.39,1652.04,2.59
3/12/2002,44.16,1648.28,2.57
3/13/2002,44.35,1632.46,2.52
3/14/2002,44.6,1631,2.59
3/15/2002,44.22,1649.56,2.61
3/18/2002,44.6,1648.73,2.65
3/19/2002,44.12,1655.44,2.61
3/20/2002,44,1629.43,2.66
3/21/2002,44.56,1631.93,2.66
3/22/2002,44.48,1625.02,2.7
3/25/2002,43.94,1601.21,2.75
3/26/2002,43.95,1610.81,2.69
3/27/2002,44.35,1619.45,2.65
3/28/2002,44.6,1623.43,2.7
4/1/2002,44.9,1622.23,2.76
4/2/2002,44.5,1608.39,2.68
4/3/2002,44.27,1592.6,2.61
4/4/2002,43.87,1593.96,2.61
4/5/2002,43.4,1588.88,2.54
4/8/2002,43.5,1592.88,2.61
4/9/2002,42.46,1582.36,2.55
4/10/2002,42,1600.36,2.52
4/11/2002,40.45,1562.52,2.51
4/12/2002,45.6,1572.89,2.44
4/15/2002,46,1560.92,2.44
4/16/2002,46.45,1597.48,2.46
4/17/2002,44.75,1594.32,2.43
4/18/2002,44.99,1592.08,2.4
4/19/2002,43.75,1593.07,2.39
4/22/2002,45.01,1568.52,2.41
4/23/2002,45.08,1558.79,2.41
4/24/2002,45.28,1547.74,2.35
4/25/2002,44.99,1545.4,2.33
4/26/2002,45,1524.08,2.31
4/29/2002,45.01,1508.75,2.36
4/30/2002,46,1525,2.35
5/1/2002,46.35,1538.65,2.33
5/2/2002,46.76,1536.16,2.35
5/3/2002,47,1520.44,2.28
5/6/2002,46.04,1491.05,2.3
5/7/2002,46.1,1486.57,2.27
5/8/2002,46.2,1542.53,2.37
5/9/2002,46.1,1520.39,2.33
5/10/2002,45.48,1494.87,2.27
5/13/2002,45.3,1522.8,2.36
5/14/2002,47.35,1555.04,2.43
5/15/2002,46.84,1546.73,2.41
5/16/2002,46.29,1556.93,2.35
